NumberOfSamplePoint, frequency, freq_position, freq_true, S_real, S_imag, S_abs, S_dB
1,0,0,0,1,0,1,-1.9925e-10
1,1,142.85,1.001,0.39262,-0.87957,0.96322,-0.32547
1,2,285.7,2.002,-0.60377,-0.70349,0.92705,-0.6579
1,3,428.55,3.003,-0.88952,0.3796,0.96713,-0.29032
1,4,571.4,3.997,0.52641,0.80046,0.95804,-0.37231
1,5,714.25,4.998,-0.041668,-0.031221,0.052067,-25.669
1,6,857.1,5.999,0.01073,-0.010934,0.015319,-36.295
1,7,999.95,7,-0.0059425,-0.013089,0.014375,-36.848
2,0,0,0,1,0,1,-2.174e-10
2,1,142.85,1.001,0.32009,-0.89584,0.95131,-0.43359
2,2,285.7,2.002,-0.68886,-0.60533,0.91704,-0.75224
2,3,428.55,3.003,-0.75814,0.61939,0.97899,-0.18447
2,4,571.4,3.997,0.88612,0.34499,0.9509,-0.43726
2,5,714.25,4.998,0.0028999,-0.0016159,0.0033197,-49.578
2,6,857.1,5.999,0.0011062,-0.0014342,0.0018112,-54.841
2,7,999.95,7,-0.082951,-0.087151,0.12032,-18.393
3,0,0,0,1,0,1,-2.0568e-10
3,1,142.85,1.001,0.36519,-0.88587,0.95819,-0.37093
3,2,285.7,2.002,-0.63452,-0.66224,0.91715,-0.75116
3,3,428.55,3.003,-0.83819,0.4677,0.95985,-0.35597
3,4,571.4,3.997,0.78101,0.56567,0.96434,-0.31535
3,5,714.25,4.998,0.021549,0.0051008,0.022145,-33.095
3,6,857.1,5.999,0.00676,-0.0075958,0.010168,-39.855
3,7,999.95,7,-0.019969,-0.035104,0.040386,-27.875
4,0,0,0,1,0,1,-2.0246e-10
4,1,142.85,1.001,0.37467,-0.88632,0.96226,-0.33417
4,2,285.7,2.002,-0.63011,-0.67788,0.92551,-0.67237
4,3,428.55,3.003,-0.86095,0.43274,0.96359,-0.32214
4,4,571.4,3.997,0.62509,0.74405,0.97178,-0.24867
4,5,714.25,4.998,-0.031639,-0.028128,0.042335,-27.466
4,6,857.1,5.999,0.016223,-0.014307,0.02163,-33.299
4,7,999.95,7,-0.001522,-0.0035848,0.0038945,-48.191
5,0,0,0,1,0,1,-2.066e-10
5,1,142.85,1.001,0.3634,-0.8962,0.96708,-0.29077
5,2,285.7,2.002,-0.66681,-0.66621,0.94259,-0.51354
5,3,428.55,3.003,-0.84342,0.50225,0.98164,-0.16094
5,4,571.4,3.997,0.59632,0.73385,0.94558,-0.48599
5,5,714.25,4.998,-0.11741,-0.099483,0.15389,-16.256
5,6,857.1,5.999,0.010925,-0.0099221,0.014758,-36.619
5,7,999.95,7,-0.00088922,-0.0019279,0.0021231,-53.461
6,0,0,0,1,0,1,-2.11e-10
6,1,142.85,1.001,0.33625,-0.89285,0.95407,-0.40839
6,2,285.7,2.002,-0.66892,-0.62538,0.91572,-0.76474
6,3,428.55,3.003,-0.79419,0.55511,0.96896,-0.27392
6,4,571.4,3.997,0.85954,0.43697,0.96423,-0.31637
6,5,714.25,4.998,0.013544,0.00117,0.013595,-37.333
6,6,857.1,5.999,0.0063953,-0.0077444,0.010044,-39.962
6,7,999.95,7,-0.016774,-0.0294,0.033849,-29.409
7,0,0,0,1,0,1,-2.1031e-10
7,1,142.85,1.001,0.34449,-0.90087,0.96449,-0.31404
7,2,285.7,2.002,-0.68738,-0.63395,0.93509,-0.58297
7,3,428.55,3.003,-0.79815,0.55395,0.97155,-0.25071
7,4,571.4,3.997,0.80206,0.5276,0.96003,-0.35434
7,5,714.25,4.998,0.0036295,-0.0023427,0.0043199,-47.29
7,6,857.1,5.999,0.025685,-0.02017,0.032658,-29.72
7,7,999.95,7,-0.00050999,-0.00077402,0.00092692,-60.659
8,0,0,0,1,0,1,-2.0232e-10
8,1,142.85,1.001,0.38274,-0.87604,0.956,-0.39082
8,2,285.7,2.002,-0.59368,-0.68497,0.90644,-0.85321
8,3,428.55,3.003,-0.8664,0.36242,0.93915,-0.54533
8,4,571.4,3.997,0.63478,0.71618,0.95701,-0.38171
8,5,714.25,4.998,0.05821,0.029793,0.065392,-23.69
8,6,857.1,5.999,0.023271,-0.020858,0.03125,-30.103
8,7,999.95,7,-0.0038397,-0.0092184,0.0099861,-40.012
9,0,0,0,1,0,1,-2.009e-10
9,1,142.85,1.001,0.40251,-0.87076,0.95929,-0.36102
9,2,285.7,2.002,-0.57147,-0.70962,0.91112,-0.80852
9,3,428.55,3.003,-0.88735,0.31323,0.94101,-0.52814
9,4,571.4,3.997,0.54178,0.80367,0.96923,-0.27146
9,5,714.25,4.998,0.027874,0.011414,0.030121,-30.423
9,6,857.1,5.999,0.013011,-0.012748,0.018215,-34.792
9,7,999.95,7,-0.0089614,-0.019531,0.021489,-33.356
10,0,0,0,1,0,1,-2.0168e-10
10,1,142.85,1.001,0.38175,-0.8844,0.96328,-0.32496
10,2,285.7,2.002,-0.62067,-0.68999,0.92807,-0.6484
10,3,428.55,3.003,-0.87822,0.40391,0.96665,-0.29459
10,4,571.4,3.997,0.52822,0.80977,0.96682,-0.29309
10,5,714.25,4.998,-0.073713,-0.069298,0.10117,-19.899
10,6,857.1,5.999,0.014383,-0.012529,0.019075,-34.391
10,7,999.95,7,-0.0029717,-0.0073344,0.0079135,-42.033
11,0,0,0,1,0,1,-1.9829e-10
11,1,142.85,1.001,0.4008,-0.87919,0.96624,-0.29828
11,2,285.7,2.002,-0.59469,-0.71305,0.92849,-0.64443
11,3,428.55,3.003,-0.89483,0.32617,0.95242,-0.42343
11,4,571.4,3.997,0.39691,0.88816,0.97281,-0.23944
11,5,714.25,4.998,-0.029281,-0.070277,0.076133,-22.369
11,6,857.1,5.999,0.06246,-0.029072,0.068894,-23.236
11,7,999.95,7,0.0028986,-0.01379,0.014091,-37.021
12,0,0,0,1,0,1,-2.105e-10
12,1,142.85,1.001,0.3382,-0.8933,0.95518,-0.39834
12,2,285.7,2.002,-0.67466,-0.63108,0.92382,-0.68829
12,3,428.55,3.003,-0.78782,0.58665,0.98225,-0.15553
12,4,571.4,3.997,0.78776,0.46173,0.91311,-0.78956
12,5,714.25,4.998,-0.0052394,-0.0026794,0.0058848,-44.605
12,6,857.1,5.999,0.0014369,-0.0020779,0.0025263,-51.95
12,7,999.95,7,-0.038362,-0.049052,0.062271,-24.114
13,0,0,0,1,0,1,-2.0612e-10
13,1,142.85,1.001,0.361,-0.88632,0.95702,-0.38161
13,2,285.7,2.002,-0.63845,-0.66071,0.91878,-0.73579
13,3,428.55,3.003,-0.84211,0.48114,0.96986,-0.26578
13,4,571.4,3.997,0.71698,0.62677,0.95231,-0.4244
13,5,714.25,4.998,-0.015127,-0.007657,0.016954,-35.414
13,6,857.1,5.999,0.0027992,-0.003485,0.00447,-46.994
13,7,999.95,7,-0.033867,-0.048962,0.059533,-24.505
14,0,0,0,1,0,1,-2.1821e-10
14,1,142.85,1.001,0.32221,-0.90793,0.96341,-0.3238
14,2,285.7,2.002,-0.72289,-0.60102,0.9401,-0.53649
14,3,428.55,3.003,-0.73819,0.64807,0.9823,-0.1551
14,4,571.4,3.997,0.89525,0.36068,0.96518,-0.30786
14,5,714.25,4.998,-0.010866,-0.007196,0.013032,-37.699
14,6,857.1,5.999,0.010712,-0.011322,0.015587,-36.145
14,7,999.95,7,-0.0026791,-0.0057972,0.0063863,-43.895
15,0,0,0,1,0,1,-2.1711e-10
15,1,142.85,1.001,0.30883,-0.90273,0.95409,-0.40821
15,2,285.7,2.002,-0.71423,-0.58539,0.92348,-0.6915
15,3,428.55,3.003,-0.72114,0.6618,0.97879,-0.18623
15,4,571.4,3.997,0.93786,0.16617,0.95247,-0.42299
15,5,714.25,4.998,0.022683,0.0024062,0.02281,-32.837
15,6,857.1,5.999,0.0071372,-0.0090575,0.011532,-38.762
15,7,999.95,7,-0.01588,-0.027499,0.031755,-29.964
16,0,0,0,1,0,1,-2.1735e-10
16,1,142.85,1.001,0.2989,-0.90989,0.95773,-0.37513
16,2,285.7,2.002,-0.74748,-0.56843,0.93906,-0.5461
16,3,428.55,3.003,-0.65476,0.73583,0.98496,-0.13163
16,4,571.4,3.997,0.90501,0.20264,0.92742,-0.65446
16,5,714.25,4.998,-0.016621,-0.001506,0.016689,-35.551
16,6,857.1,5.999,0.00010949,-7.5848e-05,0.00013319,-77.51
16,7,999.95,7,-0.082899,-0.0756,0.11219,-19.001
17,0,0,0,1,0,1,-2.1606e-10
17,1,142.85,1.001,0.3135,-0.90204,0.95496,-0.40028
17,2,285.7,2.002,-0.71141,-0.59338,0.92639,-0.66408
17,3,428.55,3.003,-0.73001,0.6574,0.98239,-0.15432
17,4,571.4,3.997,0.90236,0.3123,0.95487,-0.40108
17,5,714.25,4.998,-0.0082432,-0.0032937,0.0088768,-41.035
17,6,857.1,5.999,0.0021688,-0.0029858,0.0036903,-48.659
17,7,999.95,7,-0.032124,-0.044416,0.054816,-25.222
18,0,0,0,1,0,1,-2.1362e-10
18,1,142.85,1.001,0.33756,-0.90058,0.96176,-0.33863
18,2,285.7,2.002,-0.68633,-0.62824,0.93045,-0.62617
18,3,428.55,3.003,-0.8055,0.54047,0.97002,-0.2644
18,4,571.4,3.997,0.7212,0.65199,0.97223,-0.24464
18,5,714.25,4.998,-0.048238,-0.05021,0.069627,-23.144
18,6,857.1,5.999,0.02941,-0.02019,0.035673,-28.953
18,7,999.95,7,0.00028126,-0.00065723,0.00071489,-62.915
19,0,0,0,1,0,1,-2.1022e-10
19,1,142.85,1.001,0.34726,-0.88607,0.95169,-0.43007
19,2,285.7,2.002,-0.63848,-0.64448,0.9072,-0.84593
19,3,428.55,3.003,-0.83747,0.4648,0.95781,-0.37445
19,4,571.4,3.997,0.68335,0.68775,0.96952,-0.26884
19,5,714.25,4.998,-0.014289,-0.012901,0.019251,-34.311
19,6,857.1,5.999,0.01672,-0.016311,0.023359,-32.631
19,7,999.95,7,-0.002993,-0.0067275,0.0073633,-42.659
20,0,0,0,1,0,1,-2.0396e-10
20,1,142.85,1.001,0.36488,-0.89141,0.9632,-0.3257
20,2,285.7,2.002,-0.65106,-0.66407,0.92999,-0.63047
20,3,428.55,3.003,-0.84078,0.48294,0.96961,-0.26808
20,4,571.4,3.997,0.70149,0.67043,0.97034,-0.2615
20,5,714.25,4.998,-0.024677,-0.019824,0.031654,-29.992
20,6,857.1,5.999,0.014257,-0.013201,0.01943,-34.231
20,7,999.95,7,-0.0017449,-0.0040591,0.0044182,-47.095
21,0,0,0,1,0,1,-2.1042e-10
21,1,142.85,1.001,0.33913,-0.89602,0.95805,-0.37224
21,2,285.7,2.002,-0.67823,-0.63099,0.92636,-0.6644
21,3,428.55,3.003,-0.79744,0.56526,0.97746,-0.19798
21,4,571.4,3.997,0.80458,0.52024,0.95813,-0.37153
21,5,714.25,4.998,-0.0095403,-0.0059045,0.01122,-39
21,6,857.1,5.999,0.0045633,-0.0055034,0.0071492,-42.915
21,7,999.95,7,-0.034022,-0.051345,0.061594,-24.209
22,0,0,0,1,0,1,-2.0732e-10
22,1,142.85,1.001,0.35931,-0.89076,0.9605,-0.35009
22,2,285.7,2.002,-0.6502,-0.66142,0.92749,-0.65381
22,3,428.55,3.003,-0.84811,0.47931,0.97418,-0.2272
22,4,571.4,3.997,0.60546,0.7291,0.94772,-0.46641
22,5,714.25,4.998,-0.10774,-0.074959,0.13125,-17.638
22,6,857.1,5.999,0.0058448,-0.0061322,0.0084714,-41.441
22,7,999.95,7,-0.0075898,-0.015837,0.017562,-35.109
23,0,0,0,1,0,1,-2.0276e-10
23,1,142.85,1.001,0.37163,-0.89,0.96447,-0.31423
23,2,285.7,2.002,-0.64153,-0.67354,0.93017,-0.62874
23,3,428.55,3.003,-0.85482,0.44583,0.9641,-0.31757
23,4,571.4,3.997,0.62024,0.74968,0.973,-0.23777
23,5,714.25,4.998,-0.03979,-0.044206,0.059476,-24.513
23,6,857.1,5.999,0.024898,-0.017995,0.03072,-30.252
23,7,999.95,7,-5.9601e-05,5.9007e-06,5.9893e-05,-84.453
24,0,0,0,1,0,1,-2.0156e-10
24,1,142.85,1.001,0.37099,-0.89901,0.97255,-0.24178
24,2,285.7,2.002,-0.6689,-0.66904,0.94607,-0.48157
24,3,428.55,3.003,-0.83617,0.48343,0.96585,-0.30177
24,4,571.4,3.997,0.66694,0.65509,0.93485,-0.58514
24,5,714.25,4.998,0.013296,0.0087668,0.015926,-35.958
24,6,857.1,5.999,0.078892,-0.030461,0.084568,-21.456
24,7,999.95,7,0.0077316,-0.027629,0.028691,-30.845
25,0,0,0,1,0,1,-2.1349e-10
25,1,142.85,1.001,0.32276,-0.90207,0.95807,-0.37201
25,2,285.7,2.002,-0.71118,-0.61021,0.93708,-0.56442
25,3,428.55,3.003,-0.7368,0.65492,0.98579,-0.12428
25,4,571.4,3.997,0.70498,0.45278,0.83786,-1.5366
25,5,714.25,4.998,-0.052783,-0.0072572,0.05328,-25.469
25,6,857.1,5.999,0.00047621,-0.00064604,0.00080259,-61.91
25,7,999.95,7,-0.051361,-0.057194,0.076871,-22.285
26,0,0,0,1,0,1,-2.0623e-10
26,1,142.85,1.001,0.35193,-0.90025,0.9666,-0.29508
26,2,285.7,2.002,-0.68198,-0.64471,0.93848,-0.55147
